"Item","HPP","fit","se","lower","upper"
"Familiar",1,7230.10360256807,629.323942519972,5989.14209687053,8471.0651082656
"Novel",1,6498.44204717488,629.323942519972,5257.48054147735,7739.40355287242
"Familiar",2,6596.38703934601,581.49107174927,5449.74699088679,7743.02708780523
"Novel",2,6531.83850249333,581.49107174927,5385.19845403412,7678.47855095255
"Familiar",4,5328.95391290191,748.066439897343,3853.84452504108,6804.06330076274
"Novel",4,6598.63141313023,748.066439897344,5123.5220252694,8073.74080099107
"Familiar",5,4695.23734967986,915.964894841513,2889.04963256065,6501.42506679907
"Novel",5,6632.02786844868,915.964894841514,4825.84015132947,8438.21558556789
"Familiar",6,4061.52078645781,1109.42101779505,1873.85767104767,6249.18390186794
"Novel",6,6665.42432376713,1109.42101779505,4477.76120835699,8853.08743917727
